h3_cell,centroid_latitude,centroid_longitude,alert_level,stress_index,alert_reason,predicted_calls_next_30d,predicted_calls_next_30d_p90,code_violations_count,service_311_count,prediction_uncertainty_30d,distance_to_nearest_station_km,equity_need_score
8944ec6a60bffff,32.382547349371926,-86.29915114650312,critical,9.817842510662523,"high predicted demand, high forecast uncertainty",15.59959625488779,17.97207898005859,8.0,1663.0,17.97207898005859,,3.8071103970378437
8944ec6a663ffff,32.38873965275054,-86.29756334074217,critical,9.513367803406036,"high predicted demand, high forecast uncertainty",16.8234448006133,20.00029771598876,9.0,1185.0,20.00029771598876,,3.676705419464182
8944ec6a687ffff,32.376948085260196,-86.31022440943015,critical,7.731427875651227,"high predicted demand, high forecast uncertainty",11.042662045091244,11.042662045091244,39.0,1691.0,11.042662045091244,,2.913509558598377
8944ec6a6bbffff,32.38004461381155,-86.3094307863982,critical,7.667770354331184,"high predicted demand, high forecast uncertainty",10.403998668628788,10.403998668628788,15.0,1844.0,10.403998668628788,,2.8862453640945547
8944eeb49b3ffff,32.402528434743815,-86.21693786656412,critical,6.653154067565222,"high predicted demand, high forecast uncertainty",13.000371495118536,14.716345761013589,0.0,668.0,14.716345761013589,,2.451690338773093
8944ec6a68fffff,32.37778254808245,-86.30679786355932,critical,6.590815364967391,"high predicted demand, high forecast uncertainty",9.538164516083238,9.538164516083238,14.0,1487.0,9.538164516083238,,2.4249909876595264
8944ec6a653ffff,32.37802300196439,-86.29388636937918,critical,6.3543967134903525,"high predicted demand, high forecast uncertainty",10.283190781031175,12.475812249170128,14.0,1085.0,12.475812249170128,,2.3237340746579234
8944ec6a6a3ffff,32.3823066690943,-86.31206389261459,critical,5.811046355504147,"high predicted demand, high forecast uncertainty",11.295367424500958,14.12318142427208,1.0,564.0,14.12318142427208,,2.091019863726294
8944ec6b13bffff,32.41457515325877,-86.27487021478883,critical,5.794440043102501,"high predicted demand, concentrated code issues, high forecast uncertainty",6.15894430971718,8.262924018890693,699.0,586.0,8.262924018890693,,2.0839074640927384
8944ec6b133ffff,32.413742489583164,-86.27829698752662,critical,4.851274578852921,"high predicted demand, concentrated code issues, high forecast uncertainty",5.605596419659317,6.697782127084396,572.0,490.0,6.697782127084396,,1.6799544647714841
8944ec684c3ffff,32.417434639123854,-86.28698910372046,critical,4.5034755037476835,"high predicted demand, concentrated code issues, high forecast uncertainty",4.754312713774028,6.446443858383548,562.0,491.0,6.446443858383548,,1.5309938795133056
8944ec78a4bffff,32.35443525696599,-86.31920479909853,critical,4.227032784352503,"high predicted demand, concentrated code issues, high forecast uncertainty",2.334606604781555,5.637203738756012,656.0,660.0,5.637203738756012,,1.4125948605998468
8944ec684c7ffff,32.41969709294599,-86.28962201389717,critical,4.183510682925055,"high predicted demand, concentrated code issues, high forecast uncertainty",3.683097750981939,6.062560572126251,555.0,547.0,6.062560572126251,,1.3939545646233933
