OBJECTID,FACILITYID,Type,FULLADDR,last_edited_user,Description,ImageSource,longitude,latitude
1,Armory Learning Arts Center,Arts Center,1018 MADISON AVE,ABOWEN,"The Armory is an Art Deco-style, 34,406 square foot, one-time U.S. National Guard Armory!  Renovated to provide comprehensive art, music, dance and gymnastic instruction, today’s Armory houses Armory Athletics, the Alabama Dance Theatre and The Learning Arts Center, the City of Montgomery’s community arts center.   The Learning Arts Center features a pottery studio and kiln; spaces for art, music, dance, film classes and studio time; an auditorium and stage for special events and performances; and, an art gallery where we proudly exhibit local artists and their art. There is always something new and fun to learn!",Armory Learning Arts Center,-86.29440802000195,32.37944736000296
20,Union Station Train Shed,Historical Place,300 WATER ST,ABOWEN,"This National Historic Landmark was once built as a major hub for passenger trains.  Six sets of tracks, used by a number of railroad companies, once ran through the Train Shed, which now is completely paved and serves as a parking area for local businesses and the Montgomery Visitors Center.  The 600 foot shed sits on a bluff overlooking the Alabama River and serves as an ideal venue for concerts, festivals and many other special events.",Union Station Train Shed,-86.314307290002,32.38046160000296
21,Court Square,Historical Place,1 DEXTER AVE,ABOWEN,"The Court Square Fountain, in the Court Square-Dexter Avenue Historic District of Montgomery, Alabama, was established in 1885 on top of an artesian well, which native Alabamians used long before the area was settled. The fountain contains statues based on Greek mythology. The surrounding area, once the location for Montgomery's bustling slave trade, has seen most of its historical buildings torn down; the fountain's statues were replaced with aluminum ones in the 1980s.",Court Square,-86.30911598000196,32.377128430002955
86,Riverfront Amphitheater,Recreation,335 COOSA ST,ABOWEN,"The Amphitheater sits on the edge of Riverfront Park, in a gentle bend of the Alabama River.  This unique outdoor venue has been the home to many concerts, plays, dances, and special events since its' opening.  The amphitheater features beautiful grassy seating for around 6,000 and restrooms.  It also provides a stunning view of the river, making it a perfect venue for family picnics, quiet evenings and sightseeing.",Riverfront Amphitheater,-86.31246847000195,32.38298448000299
87,W.A. Gayle Planetarium,Recreation,1010 FOREST AVE,ABOWEN,"The W. A. Gayle Planetarium is located in Oak Park in Montgomery, Montgomery County. It was built in 1968 and opened the following year and named for Montgomery mayor William A. Gayle. It is operated by Troy University and offers daily shows in the 159-seat theater focusing on astronomy and planetary science as well as exhibit areas devoted to space science and exploration.",W.A. Gayle Planetarium,-86.28734822000197,32.36807907000302
88,Harriot II,Recreation,255 Commerce St,ABOWEN,"Re-live history while enjoying a relaxing cruise on one of Montgomery's greatest downtown attractions, the Harriott II.",Harriot II,-86.31390223000194,32.38216385000296
89,Montgomery Whitewater,Recreation,1100 MAXWELL BLVD,HNAM,"A 120-acre world-class outdoor adventure center offers rafting, kayaking, and a unique mix of adventurous outdoor activities, festivals, and competitive events designed for all ages and abilities. Anchored by a state-of-the-art whitewater course, it features relaxing recreational walking trails, dining, craft beer, and live entertainment experiences.",Montgomery Whitewater,-86.32898191700197,32.37856610000298
90,Cramton Bowl,Sports Field,1022 MADISON AVE,ABOWEN,"Cramton Bowl is a 21,000-seat stadium located in Montgomery, Alabama. Cramton Bowl opened in 1922 as a baseball stadium and has been home to Major League Baseball spring training and to minor league baseball. Today, however, its primary use is for American football.",Cramton Bowl,-86.293625810002,32.378921830002945
91,Emory Folmar Soccer Complex,Sports Field,3000 BROWN SPRINGS RD,ABOWEN,"Soccer facility with well-maintained, well-lit fields, some with synthetic turf, and ample seating.",Emory Folmar Soccer Complex,-86.18305642000196,32.377460950002984
92,Paterson Field,Sports Field,1215 MADISON AVE,ABOWEN,"Paterson Field baseball stadium has a maximum capacity of 7,000 people and was opened in 1949.   It has been the home to several professional minor league teams, and was home to the NCAA Division II Baseball Championship for 20 years.  Paterson is currently used by local High School and college teams, and features a number of tournaments throughout the season.",Paterson Field,-86.29141375000195,32.38181261000297
