h3_cell,centroid_latitude,centroid_longitude,alert_level,stress_index,alert_reason,predicted_calls_next_30d,predicted_calls_next_30d_p90,code_violations_count,service_311_count,prediction_uncertainty_30d,distance_to_nearest_station_km
8944ec6a60bffff,32.382547349371926,-86.29915114650312,critical,9.817842510662523,"high predicted demand, high forecast uncertainty",15.59959625488779,17.97207898005859,8.0,1663.0,17.97207898005859,
8944ec6a663ffff,32.38873965275054,-86.29756334074217,critical,9.513367803406036,"high predicted demand, high forecast uncertainty",16.8234448006133,20.00029771598876,9.0,1185.0,20.00029771598876,
8944ec6a687ffff,32.376948085260196,-86.31022440943015,critical,7.731427875651227,"high predicted demand, high forecast uncertainty",11.042662045091244,11.042662045091244,39.0,1691.0,11.042662045091244,
8944ec6a6bbffff,32.38004461381155,-86.3094307863982,critical,7.667770354331184,"high predicted demand, high forecast uncertainty",10.403998668628788,10.403998668628788,15.0,1844.0,10.403998668628788,
8944eeb49b3ffff,32.402528434743815,-86.21693786656412,critical,6.653154067565222,"high predicted demand, high forecast uncertainty",13.000371495118536,14.716345761013589,0.0,668.0,14.716345761013589,
8944ec6a68fffff,32.37778254808245,-86.30679786355932,critical,6.590815364967391,"high predicted demand, high forecast uncertainty",9.538164516083238,9.538164516083238,14.0,1487.0,9.538164516083238,
8944ec6a653ffff,32.37802300196439,-86.29388636937918,critical,6.3543967134903525,"high predicted demand, high forecast uncertainty",10.283190781031175,12.475812249170128,14.0,1085.0,12.475812249170128,
8944ec6a6a3ffff,32.3823066690943,-86.31206389261459,critical,5.811046355504147,"high predicted demand, high forecast uncertainty",11.295367424500958,14.12318142427208,1.0,564.0,14.12318142427208,
8944ec6b13bffff,32.41457515325877,-86.27487021478883,critical,5.794440043102501,"high predicted demand, concentrated code issues, high forecast uncertainty",6.15894430971718,8.262924018890693,699.0,586.0,8.262924018890693,
8944ec6b133ffff,32.413742489583164,-86.27829698752662,critical,4.851274578852921,"high predicted demand, concentrated code issues, high forecast uncertainty",5.605596419659317,6.697782127084396,572.0,490.0,6.697782127084396,
8944ec684c3ffff,32.417434639123854,-86.28698910372046,critical,4.5034755037476835,"high predicted demand, concentrated code issues, high forecast uncertainty",4.754312713774028,6.446443858383548,562.0,491.0,6.446443858383548,
8944ec78a4bffff,32.35443525696599,-86.31920479909853,critical,4.227032784352503,"high predicted demand, concentrated code issues, high forecast uncertainty",2.334606604781555,5.637203738756012,656.0,660.0,5.637203738756012,
8944ec684c7ffff,32.41969709294599,-86.28962201389717,critical,4.183510682925055,"high predicted demand, concentrated code issues, high forecast uncertainty",3.683097750981939,6.062560572126251,555.0,547.0,6.062560572126251,
8944ec6a64bffff,32.381952973014826,-86.2896662351922,critical,4.106427889215307,"high predicted demand, concentrated code issues, high forecast uncertainty",8.341934603093964,8.674157810246493,76.0,356.0,8.674157810246493,
8944ec6b137ffff,32.416004998667105,-86.28092938302157,critical,4.091222727199684,"high predicted demand, concentrated code issues, high forecast uncertainty",2.772277427492252,6.59836336740469,612.0,538.0,6.59836336740469,
8944ec6b123ffff,32.416837696554936,-86.27750246257976,critical,4.0552672129807625,"high predicted demand, concentrated code issues, high forecast uncertainty",3.2375918074408077,7.128222578994812,358.0,838.0,7.128222578994812,
8944ec6a457ffff,32.37444394105405,-86.32050448703865,critical,3.8929308108824467,"high predicted demand, high forecast uncertainty",7.60979305115398,9.156536223086611,43.0,407.0,9.156536223086611,
8944ec684cbffff,32.41826749725476,-86.2835619620101,critical,3.84334719460739,"high predicted demand, concentrated code issues, high forecast uncertainty",3.759522768678469,6.357978434156432,460.0,503.0,6.357978434156432,
8944ec6b143ffff,32.408619895840246,-86.2635483163519,critical,3.575917201205946,"high predicted demand, high forecast uncertainty",6.53317848251647,9.993505410495398,1.0,463.0,9.993505410495398,
8944ec6a6b7ffff,32.381472137697166,-86.31549073348991,critical,3.543923449550002,"high predicted demand, high forecast uncertainty",6.949719420633361,10.2573261155316,0.0,361.0,10.2573261155316,
8944ec79b07ffff,32.368140269042165,-86.286784603433,critical,3.521655130268476,"high predicted demand, high forecast uncertainty",5.925336732413977,10.233848022285391,5.0,524.0,10.233848022285391,
8944ec6a643ffff,32.38111913990627,-86.29309241399355,critical,3.4681873946592328,"high predicted demand, high forecast uncertainty",7.0344691369662415,9.63138431198598,2.0,335.0,9.63138431198598,
8944eeb6dc7ffff,32.32884809204256,-86.24549671275045,critical,3.466536192803286,"high predicted demand, high forecast uncertainty",6.69894981409513,9.114369492135449,3.0,418.0,9.114369492135449,
8944ec799a3ffff,32.36062937842878,-86.31761819888851,critical,3.399960855371311,"high predicted demand, concentrated code issues, high forecast uncertainty",3.6705378820566583,6.143195018015691,350.0,486.0,6.143195018015691,
8944eeb6cc3ffff,32.310749148174146,-86.22447336302402,critical,3.382296197704524,"high predicted demand, concentrated code issues, high forecast uncertainty",1.604807558244339,5.158048896235525,613.0,450.0,5.158048896235525,
8944ec6b1afffff,32.41290969990979,-86.28172383385728,critical,3.3363750432002917,"high predicted demand, concentrated code issues, high forecast uncertainty",3.9028910776697625,5.8558879070488405,412.0,322.0,5.8558879070488405,
8944ec799a7ffff,32.362891256241376,-86.32025123728657,critical,3.314889244802977,"high predicted demand, concentrated code issues, high forecast uncertainty",2.350030587587663,5.36287003322987,481.0,495.0,5.36287003322987,
8944ec6b6afffff,32.38123396158784,-86.244887491328,critical,3.1976553412376276,"high predicted demand, high forecast uncertainty",6.008583077774809,8.969231169972154,3.0,409.0,8.969231169972154,
